mono,property,value
[*]CC(S1)=CC=C1OC(=S)[*],Eea,2.3956
[*]CC(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],Eea,1.9547
[*]CC(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3[*],Eea,1.8331
[*]CC(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],Eea,3.0651
[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],Eea,1.812
[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],Eea,1.7487
[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],Eea,2.7075
[*]CC(C=C1)=CC=C1CC(S2)=CC=C2[*],Eea,0.9966
[*]CC(C=C1)=CC=C1CC(C=C2)=CC=C2[*],Eea,1.0649
[*]CC(C=C1)=CC=C1CC(=S)[*],Eea,2.6743
[*]CC(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],Eea,2.5375
[*]CC(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2[*],Eea,2.314
[*]CC(C=C1)=CC=C1C(=O)C(=S)[*],Eea,3.3639
[*]CC(C=C1)=CC=C1C(=S)C(S2)=CC=C2[*],Eea,3.0211
[*]CC(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],Eea,2.874
[*]CC(C=C1)=CC=C1C(=S)O[*],Eea,2.8319
[*]CC(C=C1)=CC=C1NC(S2)=CC=C2[*],Eea,0.9705
[*]CC(C=C1)=CC=C1NC(C=C2)=CC=C2[*],Eea,0.9546
[*]CC(C=C1)=CC=C1NC(=S)[*],Eea,2.0656
[*]CC(C=C1)=CC=C1NO[*],Eea,0.7333
[*]CC(C=C1)=CC=C1OC(S2)=CC=C2[*],Eea,1.0627
[*]CC(C=C1)=CC=C1OC(=S)[*],Eea,2.2773
[*]CCC(S1)=CC=C1C(S2)=CC=C2[*],Eea,1.9411
[*]CCC(S1)=CC=C1C(=S)[*],Eea,3.3272
[*]CCC(S1)=CC=C1O[*],Eea,0.6627
[*]CCC(C=C1)=CC=C1C(S2)=CC=C2[*],Eea,1.6982
[*]CCC(C=C1)=CC=C1C(=S)[*],Eea,3.1161
[*]CCC(C=C1)=CC=C1O[*],Eea,0.7536
[*]CCCC(S1)=CC=C1[*],Eea,0.9489
[*]CCCC(C=C1)=CC=C1[*],Eea,0.9937
[*]CCCC(=O)[*],Eea,1.2346
[*]CCCC(=S)[*],Eea,2.3997
[*]CCC(=O)C(S1)=CC=C1[*],Eea,2.6933
[*]CCC(=O)C(C=C1)=CC=C1[*],Eea,2.3583
[*]CCC(=O)C(=S)[*],Eea,3.1911
[*]CCC(=S)O[*],Eea,2.069
[*]CCNC(S1)=CC=C1[*],Eea,0.6915
[*]CCNC(C=C1)=CC=C1[*],Eea,0.6326
[*]CCNC(=S)[*],Eea,1.6837
[*]CCON[*],Eea,0.6058
[*]CC(=O)C(S1)=CC=C1C(S2)=CC=C2[*],Eea,2.8128
[*]CC(=O)C(S1)=CC=C1C(C=C2)=CC=C2[*],Eea,2.6784
[*]CC(=O)C(S1)=CC=C1C(=O)[*],Eea,3.1941
[*]CC(=O)C(S1)=CC=C1C(=S)[*],Eea,3.6254
[*]CC(=O)C(S1)=CC=C1O[*],Eea,2.4711
[*]CC(=O)C(C=C1)=CC=C1C(S2)=CC=C2[*],Eea,2.4129
[*]CC(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2[*],Eea,2.336
[*]CC(=O)C(C=C1)=CC=C1C(=O)[*],Eea,2.7979
[*]CC(=O)C(C=C1)=CC=C1C(=S)[*],Eea,3.7473
[*]CC(=O)C(C=C1)=CC=C1O[*],Eea,2.3793
[*]CC(=O)CC(S1)=CC=C1[*],Eea,1.6069
[*]CC(=O)CC(C=C1)=CC=C1[*],Eea,1.8209
[*]CC(=O)CC(=O)[*],Eea,1.5258
[*]CC(=O)CC(=S)[*],Eea,3.0632
[*]CC(=O)CO[*],Eea,1.6393
[*]CC(=O)C(=S)C(S1)=CC=C1[*],Eea,3.7805
[*]CC(=O)C(=S)C(C=C1)=CC=C1[*],Eea,3.6382
[*]CC(=O)C(=S)C(=O)[*],Eea,4.8698
[*]CC(=O)C(=S)O[*],Eea,2.8847
[*]CC(=O)NC(S1)=CC=C1[*],Eea,1.3272
[*]CC(=O)NC(C=C1)=CC=C1[*],Eea,1.369
[*]CC(=O)NC(=O)[*],Eea,1.5835
[*]CC(=O)NC(=S)[*],Eea,2.9562
[*]CC(=O)OC(S1)=CC=C1[*],Eea,1.4534
[*]CC(=O)OC(=O)[*],Eea,2.2158
[*]CC(=O)OC(=S)[*],Eea,3.1169
[*]CC(=S)C(S1)=CC=C1C(=S)[*],Eea,2.8676
[*]CC(=S)C(S1)=CC=C1O[*],Eea,3.131
[*]CC(=S)C(C=C1)=CC=C1C(=S)[*],Eea,2.9742
[*]CC(=S)C(C=C1)=CC=C1N[*],Eea,3.0309
[*]CC(=S)C(C=C1)=CC=C1O[*],Eea,3.1915
[*]CC(=S)CO[*],Eea,2.5664
[*]CC(=S)C(=O)O[*],Eea,3.8755
[*]CC(=S)NO[*],Eea,2.2076
[*]CNC(S1)=CC=C1C(C=C2)=CC=C2[*],Eea,1.6671
[*]CNC(S1)=CC=C1C(=O)[*],Eea,2.2797
[*]CNC(S1)=CC=C1C(=S)[*],Eea,2.9244
[*]CNC(S1)=CC=C1N[*],Eea,0.5629
[*]CNC(S1)=CC=C1O[*],Eea,0.8203
[*]CNC(C=C1)=CC=C1C(S2)=CC=C2[*],Eea,1.292
[*]CNC(C=C1)=CC=C1N[*],Eea,0.54
[*]CNC(C=C1)=CC=C1O[*],Eea,0.7695
[*]CNCC(S1)=CC=C1[*],Eea,1.1612
[*]CNCC(C=C1)=CC=C1[*],Eea,1.2974
[*]CNCC(=O)[*],Eea,1.6269
[*]CNCC(=S)[*],Eea,2.6857
[*]CNCN[*],Eea,0.8689
[*]CNCO[*],Eea,0.7624
[*]CNC(=O)C(S1)=CC=C1[*],Eea,1.968
[*]CNC(=O)C(=S)[*],Eea,4.0732
[*]CNC(=S)C(S1)=CC=C1[*],Eea,2.3974
[*]CNC(=S)C(C=C1)=CC=C1[*],Eea,2.3012
[*]CNC(=S)C(=O)[*],Eea,3.7481
[*]CNC(=S)N[*],Eea,1.4813
[*]CNC(=S)O[*],Eea,1.5976
[*]CNOC(S1)=CC=C1[*],Eea,1.0659
[*]CNOC(C=C1)=CC=C1[*],Eea,0.891
[*]CNOC(=S)[*],Eea,2.5
[*]CNON[*],Eea,0.9652
[*]COC(S1)=CC=C1C(C=C2)=CC=C2[*],Eea,1.6377
[*]COC(S1)=CC=C1O[*],Eea,0.8857
[*]COC(C=C1)=CC=C1O[*],Eea,0.9466
[*]COC(=O)O[*],Eea,0.7529
[*]COC(=S)O[*],Eea,2.0771
[*]CONC(=O)[*],Eea,1.2523
[*]CONO[*],Eea,0.421
[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],Eea,3.453
[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(=S)[*],Eea,4.1032
[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2O[*],Eea,2.952
[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],Eea,3.2278
[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],Eea,3.7335
[*]C(=O)C(S1)=CC=C1C(C=C2)=CC=C2O[*],Eea,2.9075
[*]C(=O)C(S1)=CC=C1C(=O)C(S2)=CC=C2[*],Eea,4.0693
[*]C(=O)C(S1)=CC=C1C(=O)C(=S)[*],Eea,4.6396
[*]C(=O)C(S1)=CC=C1C(=O)O[*],Eea,3.3779
[*]C(=O)C(S1)=CC=C1C(=S)O[*],Eea,4.037
[*]C(=O)C(S1)=CC=C1OC(S2)=CC=C2[*],Eea,2.882
[*]C(=O)C(S1)=CC=C1OC(=S)[*],Eea,3.2522
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3[*],Eea,2.8757
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2O[*],Eea,2.3086
[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],Eea,2.6442
[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],Eea,3.6994
[*]C(=O)C(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],Eea,3.6543
[*]C(=O)C(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2[*],Eea,2.1866
[*]C(=O)C(C=C1)=CC=C1C(=O)C(=S)[*],Eea,3.783
[*]C(=O)C(C=C1)=CC=C1C(=S)O[*],Eea,3.4955
[*]C(=O)C(C=C1)=CC=C1OC(S2)=CC=C2[*],Eea,2.5289
[*]C(=O)C(C=C1)=CC=C1OC(=S)[*],Eea,3.2631
[*]C(=O)OC(S1)=CC=C1C(=S)[*],Eea,3.8482
[*]C(=O)OC(S1)=CC=C1O[*],Eea,1.7594
[*]C(=O)OC(C=C1)=CC=C1C(=S)[*],Eea,3.6938
[*]C(=O)OC(=O)O[*],Eea,2.3361
[*]C(=O)OC(=S)O[*],Eea,3.1486
[*]NC(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],Eea,2.2798
[*]NC(S1)=CC=C1C(S2)=CC=C2C[*],Eea,1.6017
[*]NC(S1)=CC=C1C(S2)=CC=C2C(=O)[*],Eea,2.9191
[*]NC(S1)=CC=C1C(S2)=CC=C2C(=S)[*],Eea,3.3026
[*]NC(S1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],Eea,2.0751
[*]NC(S1)=CC=C1C(C=C2)=CC=C2C(=S)[*],Eea,2.3374
[*]NC(S1)=CC=C1C(=O)C(S2)=CC=C2[*],Eea,3.0129
[*]NC(S1)=CC=C1C(=O)C(=S)[*],Eea,4.1937
[*]NC(S1)=CC=C1C(=S)C(S2)=CC=C2[*],Eea,3.5786
[*]NC(S1)=CC=C1C(=S)C(C=C2)=CC=C2[*],Eea,2.9139
[*]NC(S1)=CC=C1NC(S2)=CC=C2[*],Eea,1.4393
[*]NC(S1)=CC=C1NC(=S)[*],Eea,2.2133
[*]NC(S1)=CC=C1OC(S2)=CC=C2[*],Eea,1.1067
[*]NC(S1)=CC=C1OC(=S)[*],Eea,2.3032
[*]NC(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],Eea,1.6696
[*]NC(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3[*],Eea,1.9491
[*]NC(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],Eea,3.1722
[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],Eea,1.8885
[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],Eea,1.5312
[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C[*],Eea,1.1363
[*]NC(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],Eea,2.5787
[*]NC(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],Eea,2.4618
[*]NC(C=C1)=CC=C1C(=O)C(=S)[*],Eea,4.0513
[*]NC(C=C1)=CC=C1C(=O)O[*],Eea,2.5642
[*]NC(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],Eea,3.0683
[*]NC(C=C1)=CC=C1NC(S2)=CC=C2[*],Eea,1.0698
[*]NC(C=C1)=CC=C1OC(S2)=CC=C2[*],Eea,1.1598
[*]NC(C=C1)=CC=C1OC(C=C2)=CC=C2[*],Eea,1.1501
[*]NC(C=C1)=CC=C1OC(=S)[*],Eea,2.1606
[*]NC(=O)C(S1)=CC=C1C(C=C2)=CC=C2[*],Eea,2.6235
[*]NC(=O)C(S1)=CC=C1C(=O)[*],Eea,3.408
[*]NC(=O)C(S1)=CC=C1C(=S)[*],Eea,3.7504
[*]NC(=O)C(S1)=CC=C1O[*],Eea,2.2174
[*]NC(=O)C(C=C1)=CC=C1C(S2)=CC=C2[*],Eea,2.1302
[*]NC(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2[*],Eea,2.3815
[*]NC(=O)C(C=C1)=CC=C1C(=S)[*],Eea,3.4516
[*]NC(=O)C(C=C1)=CC=C1O[*],Eea,2.0709
[*]NC(=O)C(=S)C(S1)=CC=C1[*],Eea,3.9034
[*]NC(=O)C(=S)C(C=C1)=CC=C1[*],Eea,3.6154
[*]NC(=O)C(=S)C(=O)[*],Eea,5.1781
[*]NC(=O)C(=S)O[*],Eea,4.3681
[*]NC(=O)NC(S1)=CC=C1[*],Eea,1.6045
[*]NC(=O)NC(=O)[*],Eea,2.041
[*]NC(=O)NC(=S)[*],Eea,3.7029
[*]NC(=O)NO[*],Eea,1.9635
[*]NC(=O)OC(S1)=CC=C1[*],Eea,1.551
[*]NC(=O)OC(C=C1)=CC=C1[*],Eea,1.3447
[*]NC(=O)OC(=S)[*],Eea,3.7701
[*]NC(=S)C(S1)=CC=C1O[*],Eea,2.8874
[*]NC(=S)C(C=C1)=CC=C1O[*],Eea,2.5935
[*]NC(=S)C(=O)O[*],Eea,4.0646
[*]NC(=S)NC(C=C1)=CC=C1[*],Eea,2.0356
[*]NC(=S)NC(=S)[*],Eea,4.2115
[*]NC(=S)NO[*],Eea,2.2894
[*]NC(=S)OC(=S)[*],Eea,4.0637
[*]NOC(=O)O[*],Eea,1.6985
[*]NOC(=S)O[*],Eea,2.7178
[*]NC(=S)NC(C=C1)=CC=C1NC(=S)NC(C=C2)=CC=C2OC(C=C3)=CC=C3[*],Eea,2.2298
[*]NC(=S)NC(C=C1)=CC=C1CC(C=C2)=CC=C2[*],Eea,1.379
[*]CCOCCOC(=O)NC(=CC=C1(C))C=C1NC(=O)O[*],Eea,0.755
[*]NC(=O)OC(=O)[*],Eea,2.561
[*]C(=O)C(=S)C(=O)O[*],Eea,5.1004
[*]C(C=C1)=CC=C1OC(=O)CC(=O)CCO[*],Eea,2.0323
[*]CCOC(=S)NC(=S)C(C=C1)=CC=C1N[*],Eea,2.6209
[*]CNCCCOCO[*],Eea,0.6155
[*]CNCNC(=O)NC(=O)N[*],Eea,0.7092
[*]CNC(=O)NCOCO[*],Eea,0.7808
[*]CNC(=O)ONC(=O)NO[*],Eea,1.4002
[*]COCOCCCO[*],Eea,0.6927
[*]COC(=O)NCCNC[*],Eea,0.5903
[*]C(=O)C(S1)=CC=C1NC(=S)OC(S2)=CC=C2NC(S3)=CC=C3[*],Eea,2.7059
[*]C(=O)NC(=O)CNC(=O)ON[*],Eea,2.0185
[*]C(=O)NC(=O)NCCCN[*],Eea,0.6578
[*]C(=O)NC(=O)NC(=O)NC(S1)=CC=C1N[*],Eea,1.5146
[*]C(=O)NC(=O)OC(=O)NCN[*],Eea,1.6859
[*]OC(C=C1)=CC=C1C(=O)C(S2)=CC=C2C(=O)NOC(=O)[*],Eea,3.5136
[*]C(F)(F)C(S1)=CC=C1C(F)(F)C(S2)=CC=C2[*],Eea,2.5399
[*]C(F)(F)C(S1)=CC=C1C(F)(F)C(=S)[*],Eea,4.1531
[*]C(F)(F)C(S1)=CC=C1C(F)(F)O[*],Eea,2.3901
[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)C(S2)=CC=C2[*],Eea,2.9023
[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)C(C=C2)=CC=C2[*],Eea,2.0599
[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)C(=S)[*],Eea,4.0037
[*]C(F)(F)C(C=C1)=CC=C1C(F)(F)O[*],Eea,2.1427
[*]C(F)(F)C(F)(F)C(S1)=CC=C1C(=S)[*],Eea,4.1828
[*]C(F)(F)C(F)(F)C(S1)=CC=C1O[*],Eea,1.9642
[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1C(S2)=CC=C2[*],Eea,2.4773
[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1C(C=C2)=CC=C2[*],Eea,2.3351
[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1C(=S)[*],Eea,3.9184
[*]C(F)(F)C(F)(F)C(C=C1)=CC=C1O[*],Eea,1.7411
[*]C(F)(F)C(F)(F)CC(S1)=CC=C1[*],Eea,1.8781
[*]C(F)(F)C(F)(F)CC(C=C1)=CC=C1[*],Eea,1.7485
[*]C(F)(F)C(F)(F)CC(=O)[*],Eea,2.8445
[*]C(F)(F)C(F)(F)CC(=S)[*],Eea,3.5657
[*]C(F)(F)C(F)(F)CN[*],Eea,0.6587
[*]C(F)(F)C(F)(F)CO[*],Eea,0.6148
[*]C(F)(F)C(F)(F)C(=O)C(S1)=CC=C1[*],Eea,3.7613
[*]C(F)(F)C(F)(F)C(=O)C(C=C1)=CC=C1[*],Eea,3.4595
[*]C(F)(F)C(F)(F)C(=O)C(=S)[*],Eea,5.1438
[*]C(F)(F)C(F)(F)C(=S)O[*],Eea,3.6605
[*]C(F)(F)C(F)(F)NC(S1)=CC=C1[*],Eea,1.8646
[*]C(F)(F)C(F)(F)NC(C=C1)=CC=C1[*],Eea,1.524
[*]C(F)(F)C(F)(F)NC(=O)[*],Eea,2.4953
[*]C(F)(F)C(F)(F)NC(=S)[*],Eea,3.1022
[*]C(F)(F)C(F)(F)ON[*],Eea,0.9509
[*]C(F)(F)CC(F)(F)C(S1)=CC=C1[*],Eea,2.025
[*]C(F)(F)CC(F)(F)C(C=C1)=CC=C1[*],Eea,1.9565
[*]C(F)(F)CC(F)(F)C(=O)[*],Eea,3.352
[*]C(F)(F)CC(F)(F)C(=S)[*],Eea,4.3183
[*]C(F)(F)CC(F)(F)N[*],Eea,1.3115
[*]C(F)(F)CC(F)(F)O[*],Eea,0.7292
[*]C(F)(F)C(=O)C(F)(F)C(=O)[*],Eea,4.1382
[*]C(F)(F)C(=O)C(F)(F)O[*],Eea,3.6501
[*]C(F)(F)C(=S)C(F)(F)O[*],Eea,4.3264
[*]C(F)(F)NC(F)(F)C(S1)=CC=C1[*],Eea,2.4083
[*]C(F)(F)NC(F)(F)C(C=C1)=CC=C1[*],Eea,2.1641
[*]C(F)(F)NC(F)(F)C(=O)[*],Eea,3.7985
[*]C(F)(F)NC(F)(F)C(=S)[*],Eea,4.6097
[*]C(F)(F)NC(F)(F)N[*],Eea,1.6576
[*]C(F)(F)NC(F)(F)O[*],Eea,0.9184
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3C(S4)=CC=C4[*],Eea,2.6224
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3C(=S)[*],Eea,3.3959
[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2C(S3)=CC=C3[*],Eea,3.54
[*]CC(S1)=CC=C1CO[*],Eea,1.4146
[*]C(=O)C(S1)=CC=C1C(=S)C(S2)=CC=C2[*],Eea,4.1286
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],Eea,2.775
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],Eea,3.8058
[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],Eea,3.0595
[*]C(=O)C(C=C1)=CC=C1C(=S)C(S2)=CC=C2[*],Eea,3.9759
[*]C(=O)C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],Eea,2.9183
[*]NC(S1)=CC=C1C(=O)O[*],Eea,2.6486
[*]NC(=S)NC(C=C1)=CC=C1NC(=S)NCCCCCC[*],Eea,1.6869
[*]C(S1)=CC=C1C(S2)=CC=C2C(=S)C(S3)=CC=C3C(=O)NC(=O)N[*],Eea,2.9241
[*]C(S1)=CC=C1C(=S)C(S2)=CC=C2C(=S)C(=O)NC(C=C3)=CC=C3C(S4)=CC=C4[*],Eea,3.9089
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2CC(=S)C(S3)=CC=C3C(=S)CO[*],Eea,3.7067
[*]C(C=C1)=CC=C1NC(C=C2)=CC=C2C(=S)NC(S3)=CC=C3C(=O)N[*],Eea,2.5831
[*]CCC(=O)OC(=O)CC(C=C1)=CC=C1C(C=C2)=CC=C2[*],Eea,1.5387
[*]C(=O)NONC(=O)NC(S1)=CC=C1N[*],Eea,1.3385
[*]C(=S)C(=O)CCNC(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],Eea,3.8901
[*]C(F)(F)C(F)(F)C(S1)=CC=C1C(S2)=CC=C2[*],Eea,2.7568
